1, 4096, 12288, 0.0711802
12288, 4096, 1, 0.0714029
1, 4096, 16384, 0.0923959
16384, 4096, 1, 0.0925403
1, 4096, 4096, 0.0174058
4096, 4096, 1, 0.0174057
1, 16384, 4096, 0.097298
4096, 16384, 1, 0.0965578
1, 256, 768, 0.0040122
768, 256, 1, 0.0040666
1, 256, 1024, 0.0042193
1024, 256, 1, 0.0041888
1, 1024, 256, 0.0051218
256, 1024, 1, 0.0051032
1, 256, 256, 0.004581
256, 256, 1, 0.0045536
4, 4096, 12288, 0.0558224
12288, 4096, 4, 0.0750255
4, 4096, 16384, 0.081076
16384, 4096, 4, 0.0974758
4, 4096, 4096, 0.0264869
4096, 4096, 4, 0.0194677
4, 16384, 4096, 0.0898416
4096, 16384, 4, 0.10008
4, 256, 768, 0.0122839
768, 256, 4, 0.0043224
4, 256, 1024, 0.012249
1024, 256, 4, 0.0046982
4, 1024, 256, 0.0123009
256, 1024, 4, 0.005137
4, 256, 256, 0.0123682
256, 256, 4, 0.004042
8, 4096, 12288, 0.0574892
12288, 4096, 8, 0.0828524
8, 4096, 16384, 0.0828889
16384, 4096, 8, 0.108019
8, 4096, 4096, 0.027152
4096, 4096, 8, 0.0243488
8, 16384, 4096, 0.09235
4096, 16384, 8, 0.108299
8, 256, 768, 0.0112118
768, 256, 8, 0.0046628
8, 256, 1024, 0.011279
1024, 256, 8, 0.0051625
8, 1024, 256, 0.0113357
256, 1024, 8, 0.0058528
8, 256, 256, 0.0111609
256, 256, 8, 0.0042515
16, 4096, 12288, 0.0438552
12288, 4096, 16, 0.146256
16, 4096, 16384, 0.0602451
16384, 4096, 16, 0.193279
16, 4096, 4096, 0.0136361
4096, 4096, 16, 0.0408445
16, 16384, 4096, 0.0685265
4096, 16384, 16, 0.198423
16, 256, 768, 0.0177434
768, 256, 16, 0.0053664
16, 256, 1024, 0.0172935
1024, 256, 16, 0.0058537
16, 1024, 256, 0.0102957
256, 1024, 16, 0.0057982
16, 256, 256, 0.0152011
256, 256, 16, 0.0042531
60, 4096, 12288, 0.0804466
12288, 4096, 60, 0.0500316
60, 4096, 16384, 0.115757
16384, 4096, 60, 0.0645449
60, 4096, 4096, 0.0358769
4096, 4096, 60, 0.0179235
60, 16384, 4096, 0.130615
4096, 16384, 60, 0.0722701
60, 256, 768, 0.0113234
768, 256, 60, 0.0105101
60, 256, 1024, 0.0113077
1024, 256, 60, 0.0104524
60, 1024, 256, 0.0124447
256, 1024, 60, 0.0102845
60, 256, 256, 0.0112765
256, 256, 60, 0.0103724
128, 4096, 12288, 0.0589171
12288, 4096, 128, 0.0580355
128, 4096, 16384, 0.0733723
16384, 4096, 128, 0.0718137
128, 4096, 4096, 0.0236525
4096, 4096, 128, 0.0228466
128, 16384, 4096, 0.0857491
4096, 16384, 128, 0.0883941
128, 256, 768, 0.0103793
768, 256, 128, 0.0104515
128, 256, 1024, 0.010373
1024, 256, 128, 0.0103719
128, 1024, 256, 0.0103176
256, 1024, 128, 0.0103619
128, 256, 256, 0.0105011
256, 256, 128, 0.010461
